Sh/90,Team xG/90,Team Gls/90,SCA90,GCA90,1/3,Team KP/90,PrgP,PrgC,Season,Squad,Poss,Team Tch Att 3rd/90,Team Tkl Def 3rd/90,Team Blk/90,Team Int/90,Team Tch Def 3rd/90
15.29,1.59,1.58,27.11,2.61,35.6,11.5,43.6,19.3,EPL 2021-2022,Arsenal,52.8,170.8,6.9,10.2,7.8,188.2
12.13,1.16,1.32,22.03,2.45,26.8,9.4,34.2,17.2,EPL 2021-2022,Aston Villa,46.5,132.9,7.9,11.9,8.9,180.9
11.47,1.21,1.21,19.45,2.05,24.8,8.2,31.3,11.8,EPL 2021-2022,Brentford,44.8,120.2,7.9,10.1,10.3,206.9
12.68,1.21,1.05,22.89,1.89,31.2,9.4,40.7,17.8,EPL 2021-2022,Brighton,54.4,171.2,8.1,12.6,9.4,211.4
10.66,1.05,0.84,17.74,1.58,23.1,7.5,25.6,10.2,EPL 2021-2022,Burnley,40.2,123.3,7.2,13.4,10.8,153.7
15.34,1.67,1.97,28.0,3.55,42.5,11.6,51.8,23.5,EPL 2021-2022,Chelsea,61.8,207.4,7.0,10.7,9.1,208.6
10.63,1.22,1.32,18.71,2.13,26.1,8.0,32.3,15.6,EPL 2021-2022,Crystal Palace,51.1,130.1,8.5,11.9,8.8,230.6
11.32,1.09,1.11,19.53,1.79,23.6,8.5,28.9,13.5,EPL 2021-2022,Everton,40.0,131.9,9.7,13.1,9.6,168.3
12.63,1.17,1.11,21.71,1.74,26.2,9.1,39.0,17.7,EPL 2021-2022,Leeds United,52.3,129.4,10.4,12.4,10.4,224.2
11.39,1.26,1.63,19.61,2.76,27.0,8.2,35.7,16.4,EPL 2021-2022,Leicester City,52.0,130.6,8.8,12.3,9.7,225.7
18.97,2.33,2.47,32.87,4.29,49.4,13.9,59.0,23.3,EPL 2021-2022,Liverpool,62.7,221.6,5.4,9.4,8.9,189.3
18.53,2.33,2.53,33.84,4.16,55.5,14.1,63.7,30.1,EPL 2021-2022,Manchester City,67.9,256.0,4.8,7.0,7.3,172.8
13.24,1.47,1.47,24.13,2.74,34.6,10.7,41.3,20.6,EPL 2021-2022,Manchester Utd,52.7,166.6,8.4,10.6,8.9,194.5
11.74,1.0,1.08,19.95,1.84,20.8,8.1,24.3,14.3,EPL 2021-2022,Newcastle Utd,40.4,113.5,8.8,11.1,9.5,177.1
9.74,0.85,0.55,16.76,0.92,19.4,6.9,27.1,14.9,EPL 2021-2022,Norwich City,42.9,109.7,8.5,11.8,10.0,217.0
12.58,1.18,1.08,21.42,1.87,26.7,9.3,34.9,19.2,EPL 2021-2022,Southampton,47.7,150.3,7.5,11.3,11.7,172.1
12.79,1.61,1.66,23.21,3.08,30.8,10.0,38.4,20.8,EPL 2021-2022,Tottenham,51.8,148.1,7.5,12.4,9.3,210.8
10.45,1.05,0.87,18.24,1.5,21.9,7.8,28.2,14.7,EPL 2021-2022,Watford,40.7,113.9,9.0,11.6,11.7,190.7
11.66,1.35,1.53,20.26,2.68,29.1,8.4,38.1,17.0,EPL 2021-2022,West Ham,47.9,145.9,7.2,11.1,9.8,184.5
10.55,0.99,0.92,18.21,1.53,28.8,7.7,33.8,19.0,EPL 2021-2022,Wolves,49.5,128.6,9.9,11.5,10.2,222.9
15.5,1.88,2.21,27.5,3.95,43.1,11.7,53.9,21.7,EPL 2022-2023,Arsenal,59.3,210.9,6.3,9.5,6.2,174.5
11.24,1.32,1.29,19.76,2.21,25.4,8.4,32.7,16.8,EPL 2022-2023,Aston Villa,49.3,123.8,8.0,11.5,8.5,208.2
9.42,1.01,0.97,16.21,1.68,22.4,6.9,26.5,13.3,EPL 2022-2023,Bournemouth,40.4,112.0,8.3,13.1,9.3,210.6
10.53,1.48,1.47,18.47,2.58,24.3,7.5,29.8,10.3,EPL 2022-2023,Brentford,43.8,127.2,7.1,12.0,9.0,191.8
15.97,1.93,1.79,28.29,3.03,38.4,12.6,48.7,21.3,EPL 2022-2023,Brighton,60.2,180.9,7.1,10.3,8.0,206.4
12.66,1.3,0.97,22.61,1.79,37.5,9.9,45.7,21.8,EPL 2022-2023,Chelsea,58.7,180.3,9.6,12.3,9.0,222.7
11.13,1.03,1.0,19.63,1.76,26.7,8.3,32.7,14.6,EPL 2022-2023,Crystal Palace,46.3,131.3,9.3,12.2,9.4,201.8
11.21,1.19,0.84,19.34,1.55,25.4,8.1,27.7,13.2,EPL 2022-2023,Everton,42.8,127.1,9.5,13.4,10.3,190.0
11.05,1.22,1.37,19.76,2.37,27.5,8.1,34.9,17.4,EPL 2022-2023,Fulham,48.8,142.5,7.8,12.0,8.9,196.4
12.08,1.24,1.18,20.61,1.82,28.6,8.9,37.6,14.6,EPL 2022-2023,Leeds United,47.0,147.0,9.9,14.1,10.3,183.4
10.84,1.33,1.29,19.58,2.29,30.1,8.4,34.3,15.3,EPL 2022-2023,Leicester City,47.7,122.1,9.1,13.6,9.7,221.3
15.82,1.88,1.87,27.53,3.39,42.5,12.1,52.4,18.9,EPL 2022-2023,Liverpool,60.8,188.1,6.0,9.2,8.8,213.7
15.53,2.07,2.42,28.92,4.42,46.6,12.2,54.6,26.0,EPL 2022-2023,Manchester City,64.7,218.4,4.9,8.9,5.9,195.0
15.53,1.78,1.47,27.66,2.61,33.4,12.6,42.0,18.7,EPL 2022-2023,Manchester Utd,53.7,172.9,9.0,13.1,9.3,213.0
14.87,1.89,1.68,26.53,2.79,28.5,11.4,42.6,18.3,EPL 2022-2023,Newcastle Utd,52.3,171.5,7.1,11.8,8.8,177.8
9.53,1.03,0.95,15.61,1.42,17.4,6.5,22.6,11.5,EPL 2022-2023,Nott'ham Forest,37.6,98.8,10.0,13.2,9.2,195.3
