Squad,Poss,Team Gls/90,Team xG/90,Sh/90,Cmp%,PrgP,1/3,Team KP/90,Team LP Att/90,GCA90,SCA90,Team Tkl Att 3rd/90,Team Blk/90,Team Int/90,Team Tkl Def 3rd/90,Team Tkl Mid 3rd/90,PrgC,Team Tch Att 3rd/90,Team Tch Def 3rd/90,Team Tch Mid 3rd/90,Season
Arsenal,54.4,1.75,1.68,14.0,83.3,46.2,32.9,11.3,56.6,3.19,25.06,3.2,10.2,6.1,6.6,6.6,20.8,188.5,165.1,260.7,EPL 2024-2025
Aston Villa,50.5,1.44,1.59,12.94,83.3,35.4,31.9,10.1,53.6,2.62,22.94,2.5,8.5,7.2,7.2,6.6,18.4,141.8,189.8,245.8,EPL 2024-2025
Bournemouth,45.3,1.5,2.02,16.56,76.0,41.1,31.9,12.9,73.2,2.5,29.69,3.1,12.1,9.6,8.1,8.5,18.8,159.7,165.9,230.1,EPL 2024-2025
Brentford,46.9,2.0,1.59,10.75,78.7,35.8,28.6,8.4,69.2,3.62,19.56,3.4,13.6,7.8,8.1,5.9,14.1,133.9,237.1,213.6,EPL 2024-2025
Brighton,53.4,1.56,1.43,14.56,83.7,42.6,31.4,10.1,62.4,2.69,25.06,3.1,12.0,8.1,6.1,8.2,21.4,157.0,206.4,279.1,EPL 2024-2025
Chelsea,56.5,2.31,2.14,15.81,84.8,39.9,37.8,12.1,62.9,4.19,28.31,1.9,11.1,8.4,7.7,6.6,23.2,166.6,205.2,292.7,EPL 2024-2025
Crystal Palace,43.5,1.0,1.37,14.0,75.9,33.8,25.8,10.2,69.5,1.81,23.44,2.5,12.8,8.7,10.3,8.6,14.4,123.2,199.7,232.3,EPL 2024-2025
Everton,39.9,0.8,0.99,12.07,76.2,28.1,26.4,8.8,75.5,1.47,21.47,2.7,9.3,9.3,10.0,7.4,14.1,127.9,173.9,204.3,EPL 2024-2025
Fulham,50.8,1.44,1.37,13.37,81.6,40.4,33.6,10.8,71.2,2.69,24.44,2.5,10.3,9.3,9.0,6.6,20.3,164.1,205.8,248.8,EPL 2024-2025
Ipswich Town,43.0,0.94,0.95,10.19,77.9,26.0,24.6,8.0,60.6,1.5,18.25,2.0,11.0,8.5,8.3,6.2,13.9,116.1,204.1,208.4,EPL 2024-2025
Leicester City,46.1,1.31,1.02,9.0,79.3,29.4,26.4,7.2,63.4,2.31,16.0,2.6,15.1,7.8,11.1,7.4,15.6,109.4,218.6,253.9,EPL 2024-2025
Liverpool,56.9,2.07,2.04,15.2,84.3,43.3,37.1,12.1,66.9,3.67,27.4,2.7,9.9,8.0,8.1,6.6,20.5,171.9,206.1,304.4,EPL 2024-2025
Manchester City,62.7,1.75,1.85,17.56,88.2,55.7,44.4,14.4,52.8,3.0,32.25,3.1,8.8,6.2,5.2,5.4,33.8,296.4,162.4,305.7,EPL 2024-2025
Manchester Utd,53.9,1.25,1.45,12.87,84.0,37.4,31.1,10.4,60.6,2.31,23.87,3.5,9.7,11.1,10.4,7.5,17.2,145.4,231.3,291.0,EPL 2024-2025
Newcastle Utd,50.1,1.37,1.58,13.5,80.7,40.1,30.7,10.7,61.2,2.69,24.94,2.6,12.4,7.7,7.0,6.6,18.1,155.1,205.0,246.5,EPL 2024-2025
Nott'ham Forest,40.9,1.31,1.23,13.37,75.8,28.2,23.9,9.8,59.0,2.12,23.44,1.8,11.0,9.2,10.8,5.9,17.9,145.9,165.1,197.2,EPL 2024-2025
Southampton,53.0,0.69,1.05,9.19,86.3,32.4,29.1,7.1,50.8,1.25,16.94,2.1,11.9,7.6,7.6,6.4,19.1,130.2,249.2,271.9,EPL 2024-2025
Tottenham,58.2,2.12,1.91,15.56,83.8,49.3,37.2,11.6,51.9,3.69,27.5,3.1,11.0,9.2,7.5,7.7,25.2,195.9,203.6,275.2,EPL 2024-2025
West Ham,46.9,1.25,1.47,14.87,79.2,34.9,29.6,10.4,69.2,2.0,25.81,2.1,12.9,8.8,8.7,6.1,18.2,137.2,200.7,248.4,EPL 2024-2025
Wolves,46.7,1.5,1.05,11.0,79.3,29.2,25.4,8.2,68.2,2.69,18.94,2.2,12.6,7.8,12.1,7.1,14.4,111.1,206.9,244.2,EPL 2024-2025
