,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
1,Max Aarons,ENG,DF,Bournemouth,24-348,2000,0.2,2,11.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2,Tyler Adams,USA,MF,Bournemouth,25-307,1999,4.1,11,2.69,8,0,0,0,0,3,0,0.00,0,0,0,0,0,0
3,Tosin Adarabioyo,ENG,DF,Chelsea,27-084,1997,3.9,6,1.53,4,0,0,2,0,0,0,0.00,0,0,0,0,0,0
4,Simon Adingra,CIV,"FW,MF",Brighton,22-351,2002,3.9,12,3.09,10,0,1,1,0,0,2,0.52,2,0,0,0,0,0
5,Asher Agbinone,ENG,MF,Crystal Palace,19-080,2005,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
6,Ola Aina,NGA,DF,Nott'ham Forest,28-070,1996,15.3,32,2.10,25,4,1,1,0,1,1,0.07,0,0,0,0,0,1
7,Rayan Aït-Nouri,ALG,DF,Wolves,23-194,2001,15.2,35,2.30,24,2,4,3,1,1,5,0.33,3,1,0,0,0,1
8,Kristoffer Ajer,NOR,DF,Brentford,26-244,1998,7.2,8,1.11,8,0,0,0,0,0,2,0.28,2,0,0,0,0,0
9,Manuel Akanji,SUI,DF,Manchester City,29-151,1995,11.2,21,1.88,21,0,0,0,0,0,1,0.09,1,0,0,0,0,0
10,Nathan Aké,NED,DF,Manchester City,29-303,1995,3.3,4,1.20,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
11,Carlos Alcaraz,ARG,MF,Southampton,22-017,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
12,Trent Alexander-Arnold,ENG,DF,Liverpool,26-071,1998,11.6,37,3.20,27,9,1,0,0,0,7,0.61,6,1,0,0,0,0
13,Alisson,BRA,GK,Liverpool,32-076,1992,6.9,1,0.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
14,Miguel Almirón,PAR,FW,Newcastle Utd,30-311,1994,1.4,4,2.93,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
15,Edson Álvarez,MEX,MF,West Ham,27-054,1997,7.8,14,1.79,12,0,1,1,0,0,0,0.00,0,0,0,0,0,0
16,Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,18-152,2006,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
17,Joachim Andersen,DEN,DF,Crystal Palace,28-200,1996,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Joachim Andersen,DEN,DF,Fulham,28-200,1996,7.7,6,0.79,3,0,0,3,0,0,0,0.00,0,0,0,0,0,0
19,Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,22-041,2002,10.1,49,4.86,20,13,7,6,1,2,9,0.89,3,3,0,1,1,1
20,André,BRA,MF,Wolves,23-154,2001,8.1,14,1.73,13,0,0,0,0,1,1,0.12,1,0,0,0,0,0
21,Michail Antonio,JAM,FW,West Ham,34-264,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0
22,Antony,BRA,"FW,MF",Manchester Utd,24-297,2000,0.6,3,5.09,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
23,Julian Araujo,MEX,DF,Bournemouth,23-126,2001,3.9,2,0.51,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
24,Cameron Archer,ENG,FW,Southampton,23-149,2001,9.5,10,1.06,4,0,2,3,1,0,0,0.00,0,0,0,0,0,0
25,Alphonse Areola,FRA,GK,West Ham,31-294,1993,7.5,1,0.13,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
26,Joe Aribo,NGA,MF,Southampton,28-149,1996,10.0,18,1.79,16,0,0,1,1,0,0,0.00,0,0,0,0,0,0
27,Adam Armstrong,ENG,"FW,MF",Southampton,27-311,1997,9.5,13,1.37,8,1,1,3,0,0,3,0.32,1,0,0,2,0,0
28,Harrison Armstrong,ENG,MF,Everton,17-333,2007,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
29,Kepa Arrizabalaga,ESP,GK,Bournemouth,30-075,1994,11.0,2,0.18,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
30,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,27-127,1997,2.3,4,1.76,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
31,Yasin Ayari,SWE,MF,Brighton,21-072,2003,8.9,29,3.27,11,9,3,2,3,1,1,0.11,1,0,0,0,0,0
32,Jordan Ayew,GHA,"FW,MF",Crystal Palace,33-097,1991,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
33,Jordan Ayew,GHA,"FW,MF",Leicester City,33-097,1991,7.3,9,1.23,7,1,0,1,0,0,1,0.14,1,0,0,0,0,0
34,Benoît Badiashile,FRA,DF,Chelsea,23-266,2001,2.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
35,Leon Bailey,JAM,"FW,MF",Aston Villa,27-130,1997,8.1,19,2.34,13,1,2,1,2,0,3,0.37,3,0,0,0,0,0
36,Carlos Baleba,CMR,MF,Brighton,20-349,2004,10.0,24,2.41,21,0,1,1,0,1,2,0.20,1,0,0,0,0,1
37,Ross Barkley,ENG,MF,Aston Villa,31-012,1993,5.0,13,2.61,12,1,0,0,0,0,3,0.60,3,0,0,0,0,0
38,Harvey Barnes,ENG,FW,Newcastle Utd,27-008,1997,8.0,30,3.72,20,1,3,2,4,0,4,0.50,2,0,1,0,1,0
39,Calvin Bassey,NGA,DF,Fulham,24-352,1999,15.0,6,0.40,5,1,0,0,0,0,1,0.07,1,0,0,0,0,0
40,Jan Bednarek,POL,DF,Southampton,28-249,1996,11.9,10,0.84,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0
41,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,26-173,1998,8.1,23,2.86,13,1,2,2,3,2,4,0.50,3,0,0,0,0,1
42,Rodrigo Bentancur,URU,MF,Tottenham,27-175,1997,5.9,15,2.52,10,0,1,3,0,1,0,0.00,0,0,0,0,0,0
43,Sander Berge,NOR,MF,Fulham,26-307,1998,9.8,14,1.43,12,0,0,0,0,2,1,0.10,1,0,0,0,0,0
44,Lucas Bergvall,SWE,MF,Tottenham,18-319,2006,1.9,4,2.09,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0
45,Victor Bernth Kristiansen,DEN,DF,Leicester City,22-001,2002,13.5,23,1.70,16,5,0,0,2,0,3,0.22,3,0,0,0,0,0
46,Beto,GNB,FW,Everton,26-321,1998,2.1,4,1.93,0,0,2,0,2,0,0,0.00,0,0,0,0,0,0
47,Philip Billing,DEN,MF,Bournemouth,28-189,1996,0.8,11,13.94,8,0,0,1,0,2,0,0.00,0,0,0,0,0,0
48,Yves Bissouma,MLI,MF,Tottenham,28-109,1996,8.2,12,1.47,11,0,0,0,0,1,0,0.00,0,0,0,0,0,0
49,Lamare Bogarde,NED,DF,Aston Villa,20-347,2004,2.4,7,2.96,5,1,0,0,0,1,0,0.00,0,0,0,0,0,0
50,Willy Boly,CIV,DF,Nott'ham Forest,33-318,1991,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
51,Jarrod Bowen,ENG,"FW,MF",West Ham,27-363,1996,15.7,71,4.51,42,12,5,6,4,2,8,0.51,5,2,1,0,0,0
52,Conor Bradley,NIR,DF,Liverpool,21-161,2003,2.6,6,2.30,4,0,1,0,1,0,1,0.38,1,0,0,0,0,0
53,Jarrad Branthwaite,ENG,DF,Everton,22-173,2002,6.1,5,0.82,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
54,James Bree,ENG,DF,Southampton,27-067,1997,1.5,3,1.99,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
55,Ben Brereton,CHI,FW,Southampton,25-243,1999,5.0,9,1.80,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0
56,Nathan Broadhead,WAL,"FW,MF",Ipswich Town,26-256,1998,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
57,Armando Broja,ALB,FW,Everton,23-098,2001,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
58,David Brooks,WAL,"FW,MF",Bournemouth,27-162,1997,1.9,12,6.24,10,0,1,1,0,0,1,0.52,0,0,0,1,0,0
59,Emi Buendía,ARG,"MF,FW",Aston Villa,27-358,1996,0.5,2,4.19,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
60,Santiago Bueno,URU,DF,Wolves,26-038,1998,7.8,5,0.64,4,1,0,0,0,0,1,0.13,1,0,0,0,0,0
61,Facundo Buonanotte,ARG,"MF,FW",Leicester City,19-360,2004,10.2,37,3.64,19,9,8,1,0,0,4,0.39,1,2,1,0,0,0
62,Cameron Burgess,AUS,DF,Ipswich Town,29-057,1995,8.0,5,0.62,5,0,0,0,0,0,2,0.25,2,0,0,0,0,0
63,Dan Burn,ENG,DF,Newcastle Utd,32-222,1992,15.0,7,0.47,4,1,0,1,1,0,1,0.07,0,1,0,0,0,0
64,Wes Burns,WAL,FW,Ipswich Town,30-024,1994,7.3,12,1.65,9,0,0,1,2,0,1,0.14,1,0,0,0,0,0
65,Moisés Caicedo,ECU,"MF,DF",Chelsea,23-045,2001,15.7,46,2.93,42,0,0,0,1,3,6,0.38,5,0,0,0,1,0
66,Tom Cairney,SCO,MF,Fulham,33-332,1991,2.0,12,6.07,11,1,0,0,0,0,2,1.01,2,0,0,0,0,0
67,Jens Cajuste,SWE,MF,Ipswich Town,25-129,1999,6.1,10,1.65,8,0,2,0,0,0,0,0.00,0,0,0,0,0,0
68,Riccardo Calafiori,ITA,DF,Arsenal,22-212,2002,5.6,5,0.89,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
69,Dominic Calvert-Lewin,ENG,FW,Everton,27-276,1997,12.9,17,1.32,10,0,2,2,2,1,2,0.16,1,0,0,0,1,0
70,Diego Carlos,BRA,DF,Aston Villa,31-277,1993,8.2,3,0.36,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
71,Fabio Carvalho,POR,"FW,MF",Brentford,22-109,2002,4.7,9,1.93,6,0,1,2,0,0,1,0.21,1,0,0,0,0,0
72,Casemiro,BRA,MF,Manchester Utd,32-298,1992,8.3,36,4.35,33,1,0,2,0,0,3,0.36,3,0,0,0,0,0
73,Kaelan Casey,ENG,DF,West Ham,20-050,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
74,Matty Cash,POL,"DF,FW",Aston Villa,27-132,1997,8.2,7,0.85,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
75,Timothy Castagne,BEL,DF,Fulham,29-012,1995,2.0,1,0.49,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
76,Trevoh Chalobah,ENG,DF,Crystal Palace,25-165,1999,9.8,7,0.72,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
77,Conor Chaplin,ENG,"MF,FW",Ipswich Town,27-305,1997,6.1,16,2.61,15,1,0,0,0,0,1,0.16,1,0,0,0,0,0
78,Federico Chiesa,ITA,FW,Liverpool,27-053,1997,0.2,2,9.47,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
79,Chiquinho,POR,MF,Wolves,24-316,2000,0.1,2,25.71,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
80,Hamza Choudhury,ENG,MF,Leicester City,27-077,1997,0.8,2,2.47,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
81,Ryan Christie,SCO,MF,Bournemouth,29-299,1995,11.6,46,3.97,37,3,0,3,2,1,1,0.09,1,0,0,0,0,0
82,Harry Clarke,ENG,DF,Ipswich Town,23-290,2001,3.2,1,0.31,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
83,Jack Clarke,ENG,FW,Ipswich Town,24-024,2000,5.6,17,3.04,15,1,1,0,0,0,2,0.36,1,1,0,0,0,0
84,Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,33-256,1991,3.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
85,Conor Coady,ENG,DF,Leicester City,31-296,1993,4.1,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
86,Séamus Coleman,IRL,DF,Everton,36-067,1988,1.0,1,1.00,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
87,Nathan Collins,IRL,DF,Brentford,23-231,2001,16.0,18,1.13,12,2,1,2,1,0,5,0.31,2,1,0,1,1,0
88,Toby Collyer,ENG,MF,Manchester Utd,20-349,2004,0.5,2,4.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
89,Levi Colwill,ENG,DF,Chelsea,21-295,2003,15.0,17,1.13,14,2,0,0,0,1,1,0.07,0,0,0,0,0,1
