,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Max Aarons,ENG,DF,Bournemouth,24-348,2000,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
2,Tyler Adams,USA,MF,Bournemouth,25-307,1999,4.1,0,5,1,20.0,1.22,0.24,0.00,0.00,17.2,0,0,0,1.1,1.1,0.21,-1.1,-1.1
3,Tosin Adarabioyo,ENG,DF,Chelsea,27-084,1997,3.9,0,4,0,0.0,1.02,0.00,0.00,0,9.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3
4,Simon Adingra,CIV,"FW,MF",Brighton,22-351,2002,3.9,1,8,3,37.5,2.06,0.77,0.13,0.33,13.6,0,0,0,0.6,0.6,0.08,+0.4,+0.4
5,Asher Agbinone,ENG,MF,Crystal Palace,19-080,2005,0.1,0,1,0,0.0,15.00,0.00,0.00,0,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0
6,Ola Aina,NGA,DF,Nott'ham Forest,28-070,1996,15.3,1,4,1,25.0,0.26,0.07,0.25,1.00,25.9,0,0,0,0.1,0.1,0.03,+0.9,+0.9
7,Rayan Aït-Nouri,ALG,DF,Wolves,23-194,2001,15.2,3,16,4,25.0,1.05,0.26,0.19,0.75,14.6,0,0,0,1.3,1.3,0.09,+1.7,+1.7
8,Kristoffer Ajer,NOR,DF,Brentford,26-244,1998,7.2,0,1,1,100.0,0.14,0.14,0.00,0.00,6.2,0,0,0,0.3,0.3,0.28,-0.3,-0.3
9,Manuel Akanji,SUI,DF,Manchester City,29-151,1995,11.2,0,8,1,12.5,0.72,0.09,0.00,0.00,18.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3
10,Nathan Aké,NED,DF,Manchester City,29-303,1995,3.3,0,2,0,0.0,0.60,0.00,0.00,0,12.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
11,Carlos Alcaraz,ARG,MF,Southampton,22-017,2002,0.1,0,1,1,100.0,9.00,9.00,0.00,0.00,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
12,Trent Alexander-Arnold,ENG,DF,Liverpool,26-071,1998,11.6,0,13,2,15.4,1.13,0.17,0.00,0.00,25.2,2,0,0,0.5,0.5,0.04,-0.5,-0.5
13,Alisson,BRA,GK,Liverpool,32-076,1992,6.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
14,Miguel Almirón,PAR,FW,Newcastle Utd,30-311,1994,1.4,0,5,1,20.0,3.66,0.73,0.00,0.00,15.3,0,0,0,0.5,0.5,0.09,-0.5,-0.5
15,Edson Álvarez,MEX,MF,West Ham,27-054,1997,7.8,0,6,0,0.0,0.77,0.00,0.00,0,27.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
16,Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,18-152,2006,0.3,0,1,0,0.0,3.21,0.00,0.00,0,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0
17,Joachim Andersen,DEN,DF,Crystal Palace,28-200,1996,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0
18,Joachim Andersen,DEN,DF,Fulham,28-200,1996,7.7,0,8,2,25.0,1.04,0.26,0.00,0.00,18.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
19,Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,22-041,2002,10.1,0,19,4,21.1,1.89,0.40,0.00,0.00,19.2,0,0,0,0.9,0.9,0.05,-0.9,-0.9
20,André,BRA,MF,Wolves,23-154,2001,8.1,0,2,1,50.0,0.25,0.12,0.00,0.00,24.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
21,Michail Antonio,JAM,FW,West Ham,34-264,1990,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2
22,Antony,BRA,"FW,MF",Manchester Utd,24-297,2000,0.6,0,3,2,66.7,5.09,3.40,0.00,0.00,18.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
23,Julian Araujo,MEX,DF,Bournemouth,23-126,2001,3.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
24,Cameron Archer,ENG,FW,Southampton,23-149,2001,9.5,2,20,6,30.0,2.11,0.63,0.10,0.33,12.3,0,0,1,4.4,3.6,0.18,-2.4,-1.6
25,Alphonse Areola,FRA,GK,West Ham,31-294,1993,7.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
26,Joe Aribo,NGA,MF,Southampton,28-149,1996,10.0,2,11,6,54.5,1.10,0.60,0.18,0.33,13.2,0,0,0,2.2,2.2,0.20,-0.2,-0.2
27,Adam Armstrong,ENG,"FW,MF",Southampton,27-311,1997,9.5,2,18,5,27.8,1.90,0.53,0.11,0.40,16.2,0,0,1,2.9,2.0,0.11,-0.9,0.0
28,Harrison Armstrong,ENG,MF,Everton,17-333,2007,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
29,Kepa Arrizabalaga,ESP,GK,Bournemouth,30-075,1994,11.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
30,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,27-127,1997,2.3,0,4,1,25.0,1.76,0.44,0.00,0.00,13.7,0,0,0,0.4,0.4,0.11,-0.4,-0.4
31,Yasin Ayari,SWE,MF,Brighton,21-072,2003,8.9,0,11,3,27.3,1.24,0.34,0.00,0.00,20.7,0,0,0,0.9,0.9,0.08,-0.9,-0.9
