,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,23,16.0,262,162,105,105,52,120,247,48.6,127,164,61,103,98,360,288,13
Aston Villa,23,16.0,261,152,115,106,40,119,215,55.3,96,136,43,93,116,377,288,16
Bournemouth,25,16.0,314,181,129,136,49,126,260,48.5,134,194,55,139,154,468,383,8
Brentford,23,16.0,277,171,129,94,54,130,245,53.1,115,217,88,129,125,402,453,12
Brighton,28,16.0,278,163,97,132,49,133,291,45.7,158,192,57,135,129,407,300,11
Chelsea,24,16.0,260,168,123,106,31,125,258,48.4,133,177,55,122,134,394,274,16
Crystal Palace,25,16.0,342,201,165,137,40,138,299,46.2,161,204,56,148,139,481,410,8
Everton,24,15.0,302,172,150,111,41,146,259,56.4,113,140,51,89,139,441,362,9
Fulham,23,16.0,290,169,144,106,40,120,248,48.4,128,165,50,115,149,439,335,11
Ipswich Town,28,16.0,265,147,133,100,32,129,277,46.6,148,176,69,107,136,401,410,18
Leicester City,25,16.0,339,196,178,119,42,151,327,46.2,176,242,93,149,124,463,433,12
Liverpool,23,15.0,262,170,122,99,41,143,264,54.2,121,148,34,114,120,382,248,9
Manchester City,22,16.0,218,134,83,86,49,91,182,50.0,91,140,37,103,100,318,224,15
Manchester Utd,25,16.0,342,207,166,120,56,166,304,54.6,138,155,45,110,177,519,282,11
Newcastle Utd,21,16.0,259,160,112,106,41,134,257,52.1,123,198,66,132,123,382,331,15
Nott'ham Forest,23,16.0,295,178,173,94,28,135,256,52.7,121,176,63,113,147,442,421,5
Southampton,31,16.0,257,153,122,102,33,107,245,43.7,138,190,90,100,122,379,368,27
Tottenham,25,16.0,292,188,120,123,49,144,279,51.6,135,176,52,124,148,440,289,12
West Ham,25,16.0,270,165,139,97,34,118,231,51.1,113,206,79,127,141,411,407,12
Wolves,24,16.0,341,199,193,113,35,146,285,51.2,139,202,71,131,125,466,393,12
