,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Arsenal,23,16.0,401,25.06,297,39,24,26,11,4,51,3.19,34,9,2,3,3,0
Aston Villa,23,16.0,367,22.94,252,43,15,34,15,8,42,2.62,33,3,1,3,1,1
Bournemouth,25,16.0,475,29.69,367,27,19,30,18,14,40,2.5,22,4,3,4,7,0
Brentford,23,16.0,313,19.56,230,30,18,15,15,5,58,3.62,43,5,3,3,4,0
Brighton,28,16.0,401,25.06,284,32,27,23,30,5,43,2.69,35,1,3,2,1,1
Chelsea,24,16.0,453,28.31,350,20,30,28,14,11,67,4.19,49,3,5,4,4,2
Crystal Palace,25,16.0,375,23.44,276,33,16,33,15,2,29,1.81,17,4,2,4,2,0
Everton,24,15.0,322,21.47,237,30,16,15,17,7,22,1.47,13,1,1,1,3,3
Fulham,23,16.0,391,24.44,290,36,16,29,10,10,43,2.69,37,0,3,0,1,2
Ipswich Town,28,16.0,292,18.25,202,38,21,12,14,5,24,1.5,20,1,2,1,0,0
Leicester City,25,16.0,256,16.0,183,27,19,9,17,1,37,2.31,24,3,5,2,3,0
Liverpool,23,15.0,411,27.4,306,27,29,24,14,11,55,3.67,48,1,2,1,3,0
Manchester City,22,16.0,516,32.25,408,34,32,24,13,5,48,3.0,32,2,7,4,1,2
Manchester Utd,25,16.0,382,23.87,302,26,18,12,16,8,37,2.31,24,3,3,2,2,3
Newcastle Utd,21,16.0,399,24.94,302,33,20,18,19,7,43,2.69,34,3,2,1,2,1
Nott'ham Forest,23,16.0,375,23.44,262,37,21,32,16,7,34,2.12,19,5,0,3,5,2
Southampton,31,16.0,271,16.94,196,20,16,21,13,5,20,1.25,13,1,2,3,0,1
Tottenham,25,16.0,440,27.5,333,32,26,28,16,5,59,3.69,45,2,7,3,1,1
West Ham,25,16.0,413,25.81,286,38,26,35,17,11,32,2.0,15,4,2,8,3,0
Wolves,24,16.0,303,18.94,222,24,23,15,10,9,43,2.69,35,1,4,1,0,2
