,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,Expected,Expected,,,,,
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,23,16.0,6770,8126,83.3,113209,36261,3354,3678,91.2,2821,3201,88.1,477,905,52.7,23,20.6,19.6,2.4,181,527,171,27,740
Aston Villa,23,16.0,6290,7552,83.3,108514,38500,2863,3177,90.1,2821,3161,89.2,480,857,56.0,18,18.9,18.0,-0.9,161,510,139,25,566
Bournemouth,25,16.0,5137,6755,76.0,95919,37734,2178,2530,86.1,2325,2755,84.4,564,1172,48.1,16,22.0,16.9,-6.0,206,510,140,39,658
Brentford,23,16.0,5823,7398,78.7,105684,39849,2605,2991,87.1,2548,2994,85.1,582,1108,52.5,20,18.6,15.5,1.4,134,458,117,35,573
Brighton,28,16.0,6939,8295,83.7,117861,40930,3354,3692,90.8,2851,3212,88.8,580,998,58.1,17,16.1,16.0,0.9,161,502,132,39,682
Chelsea,24,16.0,7525,8872,84.8,128816,41681,3401,3722,91.4,3397,3757,90.4,558,1006,55.5,28,25.4,18.9,2.6,193,605,158,30,638
Crystal Palace,25,16.0,5225,6883,75.9,94628,35204,2239,2593,86.3,2387,2820,84.6,498,1112,44.8,13,17.5,12.9,-4.5,163,413,106,26,540
Everton,24,15.0,4425,5810,76.2,83954,33722,1974,2276,86.7,1768,2092,84.5,606,1133,53.5,7,11.6,11.9,-4.6,132,396,107,33,422
Fulham,23,16.0,6598,8086,81.6,117620,40337,2901,3244,89.4,2926,3320,88.1,640,1140,56.1,21,17.5,16.3,3.5,173,537,139,38,646
Ipswich Town,28,16.0,5132,6584,77.9,89621,34113,2401,2708,88.7,2154,2547,84.6,468,969,48.3,12,11.9,11.0,0.1,128,393,84,23,416
Leicester City,25,16.0,5759,7265,79.3,95892,35952,2811,3151,89.2,2294,2654,86.4,475,1014,46.8,17,13.1,12.9,3.9,115,423,95,26,470
Liverpool,23,15.0,7269,8622,84.3,121900,41438,3548,3849,92.2,3027,3401,89.0,532,1004,53.0,24,21.9,18.6,2.1,181,556,149,29,650
Manchester City,22,16.0,9368,10626,88.2,150071,41945,4923,5304,92.8,3754,4111,91.3,541,845,64.0,20,25.1,26.3,-5.1,231,711,209,32,891
Manchester Utd,25,16.0,7458,8875,84.0,122663,40049,3684,4049,91.0,3067,3428,89.5,508,970,52.4,17,18.5,14.1,-1.5,166,498,114,24,599
Newcastle Utd,21,16.0,6351,7869,80.7,108171,39528,3048,3459,88.1,2742,3125,87.7,477,979,48.7,19,19.7,16.9,-0.7,171,491,137,30,641
Nott'ham Forest,23,16.0,4673,6161,75.8,77715,30736,2450,2784,88.0,1616,2014,80.2,429,944,45.4,13,13.8,13.8,-0.8,157,383,86,22,452
Southampton,31,16.0,7476,8665,86.3,122566,38343,3654,3956,92.4,3210,3546,90.5,448,812,55.2,7,12.8,12.2,-5.8,114,465,105,18,518
Tottenham,25,16.0,7435,8875,83.8,122598,41542,3491,3875,90.1,3281,3673,89.3,457,831,55.0,28,24.1,20.0,3.9,185,595,193,36,789
West Ham,25,16.0,5822,7350,79.2,103399,37596,2700,3080,87.7,2430,2842,85.5,590,1108,53.2,11,15.6,15.4,-4.6,166,473,127,33,558
Wolves,24,16.0,5603,7066,79.3,99847,34948,2544,2895,87.9,2363,2704,87.4,566,1092,51.8,21,14.3,10.2,6.7,132,406,112,28,467
