,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Arsenal,23,54.4,16.0,9751,830,2642,4171,3016,547,9749,311,136,43.7,133,42.8,5562,29362,15609,333,198,126,191,182,6717,730
Aston Villa,23,50.5,16.0,9146,1024,3037,3933,2268,423,9144,297,134,45.1,123,41.4,5299,29121,15518,294,194,93,212,168,6168,563
Bournemouth,25,45.3,16.0,8773,936,2654,3681,2555,439,8768,287,118,41.1,133,46.3,4768,27386,14341,301,203,106,237,151,5086,650
Brentford,23,46.9,16.0,9275,1504,3793,3418,2143,351,9273,253,104,41.1,122,48.2,5033,26554,13062,226,151,70,228,135,5755,568
Brighton,28,53.4,16.0,10166,1171,3303,4466,2512,423,10166,355,143,40.3,179,50.4,6024,33529,18548,343,243,109,239,148,6871,678
Chelsea,24,56.5,16.0,10549,997,3284,4683,2666,489,10546,333,144,43.2,143,42.9,6065,31294,16895,372,210,134,192,124,7468,631
Crystal Palace,25,43.5,16.0,8803,1079,3195,3717,1972,336,8802,200,81,40.5,101,50.5,4420,22701,11307,230,156,65,200,155,5182,531
Everton,24,39.9,15.0,7487,916,2608,3065,1918,303,7487,286,132,46.2,138,48.3,3637,20038,9894,211,152,60,188,163,4388,419
Fulham,23,50.8,16.0,9801,1118,3292,3980,2625,399,9799,286,130,45.5,112,39.2,5926,29577,15047,325,232,104,213,121,6535,641
Ipswich Town,28,43.0,16.0,8377,1231,3265,3334,1857,286,8377,257,124,48.2,108,42.0,4369,24111,11656,223,147,65,245,148,5087,411
Leicester City,25,46.1,16.0,9214,1291,3498,4063,1750,279,9212,320,132,41.3,155,48.4,5299,25910,12621,249,147,61,225,149,5704,468
Liverpool,23,56.9,15.0,10151,1000,3091,4566,2579,466,10147,253,123,48.6,109,43.1,5969,30376,15475,308,204,132,203,141,7200,641
Manchester City,22,62.7,16.0,12139,836,2598,4891,4742,663,12138,341,164,48.1,121,35.5,7665,43919,24270,541,375,203,182,174,9246,881
Manchester Utd,25,53.9,16.0,10592,1074,3701,4656,2326,360,10590,277,123,44.4,132,47.7,6649,33657,16664,276,201,103,192,143,7379,589
Newcastle Utd,21,50.1,16.0,9619,1024,3280,3944,2481,422,9617,292,120,41.1,129,44.2,5837,30687,14941,289,191,106,198,213,6299,637
Nott'ham Forest,23,40.9,16.0,8018,983,2642,3155,2334,363,8016,273,128,46.9,101,37.0,3933,22042,11896,287,192,89,224,137,4629,448
Southampton,31,53.0,16.0,10343,1405,3987,4351,2083,327,10341,310,121,39.0,144,46.5,5943,31098,16421,305,196,80,181,151,7399,513
Tottenham,25,58.2,16.0,10691,1025,3258,4404,3134,514,10691,343,142,41.4,173,50.4,6801,37603,19400,403,284,119,212,170,7363,784
West Ham,25,46.9,16.0,9279,1171,3211,3975,2195,397,9276,352,160,45.5,148,42.0,4723,24773,12903,292,180,92,205,190,5770,556
Wolves,24,46.7,16.0,8889,1185,3311,3907,1778,314,8889,311,149,47.9,117,37.6,4766,27203,13775,231,179,77,229,142,5558,464
