,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Max Aarons,ENG,DF,Bournemouth,24-348,2000,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Tyler Adams,USA,MF,Bournemouth,25-307,1999,7,4,368,4.1,0,0,0,0,0,0,2,0,1.1,1.1,0.4,1.5,1,16,0,0.00,0.00,0.00,0.00,0.00,0.26,0.11,0.37,0.26,0.37
3,Tosin Adarabioyo,ENG,DF,Chelsea,27-084,1997,6,4,353,3.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,7,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
4,Simon Adingra,CIV,"FW,MF",Brighton,22-351,2002,11,3,349,3.9,1,1,2,1,0,0,0,0,0.6,0.6,0.6,1.2,14,6,55,0.26,0.26,0.52,0.26,0.52,0.16,0.15,0.31,0.16,0.31
5,Asher Agbinone,ENG,MF,Crystal Palace,19-080,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79
6,Ola Aina,NGA,DF,Nott'ham Forest,28-070,1996,16,16,1373,15.3,1,0,1,1,0,0,2,0,0.1,0.1,0.5,0.6,32,57,29,0.07,0.00,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04
7,Rayan Aït-Nouri,ALG,DF,Wolves,23-194,2001,16,16,1366,15.2,3,3,6,3,0,0,6,1,1.3,1.3,1.5,2.9,28,53,64,0.20,0.20,0.40,0.20,0.40,0.09,0.10,0.19,0.09,0.19
8,Kristoffer Ajer,NOR,DF,Brentford,26-244,1998,9,8,651,7.2,0,0,0,0,0,0,3,0,0.3,0.3,0.7,1.0,14,25,15,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14
9,Manuel Akanji,SUI,DF,Manchester City,29-151,1995,12,12,1006,11.2,0,0,0,0,0,0,3,0,0.3,0.3,0.3,0.6,24,89,6,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
10,Nathan Aké,NED,DF,Manchester City,29-303,1995,5,3,299,3.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,9,22,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
11,Carlos Alcaraz,ARG,MF,Southampton,22-017,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48
12,Trent Alexander-Arnold,ENG,DF,Liverpool,26-071,1998,14,13,1040,11.6,0,3,3,0,0,0,3,0,0.5,0.5,3.4,3.9,25,68,35,0.00,0.26,0.26,0.00,0.26,0.04,0.29,0.34,0.04,0.34
13,Alisson,BRA,GK,Liverpool,32-076,1992,7,7,618,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
